Primary Type,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,Year,Month,Day,Hour,DayOfWeek
THEFT,STREET,False,False,1414,14.0,35.0,22.0,2004,9,1,7,Wednesday
THEFT,APARTMENT,False,False,713,7.0,16.0,67.0,2003,10,1,0,Wednesday
THEFT,ABANDONED BUILDING,False,False,934,9.0,3.0,61.0,2003,11,14,0,Friday
THEFT,RESIDENCE,False,False,2534,25.0,37.0,23.0,2002,9,30,0,Monday
THEFT,RESIDENCE,False,False,915,9.0,16.0,61.0,2004,10,1,9,Friday
THEFT,RESIDENCE,False,False,1423,14.0,26.0,24.0,2004,5,19,10,Wednesday
NARCOTICS,SIDEWALK,True,False,1114,11.0,28.0,26.0,2004,7,27,13,Tuesday
SEX OFFENSE,RESIDENCE,False,True,1222,12.0,25.0,31.0,2001,10,25,17,Thursday
THEFT,RESIDENCE,False,False,2223,22.0,21.0,71.0,2001,11,1,0,Thursday
THEFT,OTHER,False,False,1124,11.0,2.0,27.0,2004,1,1,0,Thursday
THEFT,RESIDENCE,False,True,724,7.0,17.0,68.0,2003,1,1,12,Wednesday
THEFT,RESIDENCE,False,False,925,9.0,11.0,60.0,2003,6,3,0,Tuesday
THEFT,RESIDENCE,False,False,1111,11.0,37.0,23.0,2001,7,31,0,Tuesday
THEFT,RESIDENCE,False,False,715,7.0,15.0,67.0,2001,7,1,0,Sunday
THEFT,RESIDENCE,False,False,2112,2.0,2.0,35.0,2002,8,22,0,Thursday
THEFT,RESIDENCE,False,True,1111,11.0,27.0,23.0,2002,1,1,12,Tuesday
THEFT,APARTMENT,False,False,1211,12.0,2.0,28.0,2001,12,1,9,Saturday
SEX OFFENSE,RESIDENCE,False,True,2512,25.0,36.0,18.0,2003,2,18,0,Tuesday
THEFT,RESIDENCE,False,False,131,1.0,2.0,28.0,2002,7,6,0,Saturday
THEFT,RESIDENCE,False,False,331,3.0,5.0,43.0,2002,11,6,9,Wednesday
THEFT,RESIDENCE,False,False,1631,16.0,36.0,17.0,2001,4,1,12,Sunday
THEFT,RESIDENCE,False,False,723,7.0,16.0,68.0,2002,12,6,13,Friday
THEFT,RESIDENCE,False,False,332,3.0,5.0,43.0,2001,11,1,13,Thursday
THEFT,APARTMENT,False,False,2011,20.0,40.0,2.0,2001,6,4,8,Monday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,True,611,6.0,18.0,71.0,2001,8,1,0,Wednesday
THEFT,RESIDENCE,False,False,634,6.0,21.0,49.0,2002,5,20,9,Monday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,True,931,9.0,20.0,61.0,2002,1,1,0,Tuesday
OFFENSE INVOLVING CHILDREN,RESIDENCE,True,True,1413,14.0,26.0,22.0,2002,8,1,22,Thursday
THEFT,RESIDENCE,False,False,733,7.0,17.0,68.0,2001,8,8,8,Wednesday
THEFT,RESIDENCE,False,False,1233,12.0,25.0,31.0,2004,6,1,0,Tuesday
THEFT,RESIDENCE,False,False,432,4.0,10.0,52.0,2004,1,1,10,Thursday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,True,1033,10.0,12.0,30.0,2002,3,14,0,Thursday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,False,1711,17.0,39.0,13.0,2003,1,1,0,Wednesday
THEFT,APARTMENT,False,False,1012,10.0,24.0,29.0,2004,9,23,0,Thursday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,True,322,3.0,6.0,69.0,2004,1,1,0,Thursday
THEFT,RESIDENCE,False,False,1833,18.0,42.0,8.0,2004,1,1,12,Thursday
THEFT,MEDICAL/DENTAL OFFICE,False,False,2011,20.0,40.0,4.0,2001,4,1,9,Sunday
THEFT,RESIDENCE,False,False,2233,22.0,34.0,49.0,2001,1,1,0,Monday
THEFT,APARTMENT,False,False,911,9.0,14.0,63.0,2003,8,1,9,Friday
THEFT,RESIDENCE,False,False,1112,11.0,27.0,23.0,2003,1,1,0,Wednesday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,True,813,8.0,13.0,62.0,2002,10,15,22,Tuesday
NARCOTICS,OTHER,True,False,1011,10.0,24.0,29.0,2004,11,9,14,Tuesday
THEFT,APARTMENT,False,False,1723,17.0,33.0,14.0,2004,8,1,0,Sunday
THEFT,APARTMENT,False,False,1531,15.0,37.0,25.0,2004,12,14,12,Tuesday
THEFT,RESIDENCE,False,False,221,2.0,3.0,38.0,2002,7,19,8,Friday
CRIM SEXUAL ASSAULT,APARTMENT,True,True,821,8.0,14.0,58.0,2004,3,11,12,Thursday
SEX OFFENSE,RESIDENCE,True,False,1924,19.0,44.0,6.0,2003,6,1,0,Sunday
SEX OFFENSE,APARTMENT,False,False,2534,25.0,31.0,20.0,2004,9,27,10,Monday
OTHER OFFENSE,APARTMENT,False,True,2513,25.0,36.0,25.0,2003,4,15,19,Tuesday
THEFT,"SCHOOL, PRIVATE, BUILDING",False,False,631,6.0,6.0,44.0,2004,8,1,0,Sunday
DECEPTIVE PRACTICE,CURRENCY EXCHANGE,True,False,412,4.0,8.0,45.0,2003,3,22,0,Saturday
THEFT,RESIDENCE,False,False,311,3.0,20.0,40.0,2003,2,7,0,Friday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,True,1031,10.0,22.0,30.0,2001,1,10,0,Wednesday
THEFT,RESIDENCE,False,False,831,8.0,18.0,66.0,2004,6,16,12,Wednesday
THEFT,RESIDENCE,False,False,134,1.0,2.0,33.0,2003,8,1,0,Friday
CRIM SEXUAL ASSAULT,APARTMENT,False,True,2313,19.0,46.0,3.0,2004,9,16,0,Thursday
THEFT,APARTMENT,False,False,833,8.0,18.0,70.0,2003,5,6,11,Tuesday
THEFT,APARTMENT,False,False,1034,10.0,25.0,31.0,2004,4,1,0,Thursday
THEFT,RESIDENCE,False,False,2234,22.0,34.0,75.0,2004,4,28,12,Wednesday
OFFENSE INVOLVING CHILDREN,APARTMENT,False,True,824,8.0,14.0,63.0,2003,8,1,20,Friday
THEFT,APARTMENT,False,False,1431,14.0,1.0,22.0,2001,1,1,0,Monday
CRIM SEXUAL ASSAULT,RESIDENCE,False,True,1032,10.0,22.0,30.0,2002,9,10,0,Tuesday
CRIM SEXUAL ASSAULT,RESIDENCE,False,True,1032,10.0,22.0,30.0,2001,4,14,0,Saturday
THEFT,APARTMENT,False,False,824,8.0,16.0,66.0,2004,4,1,0,Thursday
THEFT,BANK,False,False,1912,19.0,47.0,5.0,2004,1,5,12,Monday
THEFT,RESIDENCE,False,False,2124,2.0,4.0,39.0,2003,3,6,0,Thursday
THEFT,APARTMENT,False,False,1833,18.0,42.0,8.0,2003,12,12,12,Friday
OTHER OFFENSE,RESIDENCE-GARAGE,False,False,2232,22.0,34.0,73.0,2002,4,20,15,Saturday
THEFT,RESIDENCE,False,False,1423,14.0,26.0,24.0,2003,3,1,0,Saturday
THEFT,BARBERSHOP,False,False,111,1.0,27.0,28.0,2002,8,22,8,Thursday
DECEPTIVE PRACTICE,OTHER,True,False,2432,24.0,40.0,1.0,2001,1,1,12,Monday
THEFT,RESIDENCE,False,False,634,6.0,6.0,44.0,2003,5,1,0,Thursday
CRIM SEXUAL ASSAULT,RESIDENCE,True,False,2312,19.0,46.0,3.0,2001,9,1,0,Saturday
CRIM SEXUAL ASSAULT,APARTMENT,False,False,821,8.0,14.0,58.0,2001,4,22,0,Sunday
OFFENSE INVOLVING CHILDREN,RESIDENCE,True,False,2312,19.0,46.0,3.0,2003,9,24,0,Wednesday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,False,823,8.0,15.0,66.0,2002,3,30,0,Saturday
CRIM SEXUAL ASSAULT,APARTMENT,False,False,1724,17.0,33.0,16.0,2002,4,22,0,Monday
OFFENSE INVOLVING CHILDREN,APARTMENT,False,False,1121,11.0,26.0,23.0,2003,7,1,18,Tuesday
DECEPTIVE PRACTICE,RESIDENCE,False,False,2234,22.0,34.0,75.0,2003,1,1,12,Wednesday
SEX OFFENSE,RESIDENCE,False,False,1022,10.0,24.0,29.0,2001,1,1,0,Monday
CRIM SEXUAL ASSAULT,APARTMENT,False,False,323,3.0,6.0,69.0,2004,1,1,0,Thursday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,False,822,8.0,14.0,63.0,2002,10,7,16,Monday
OFFENSE INVOLVING CHILDREN,APARTMENT,False,False,1624,16.0,38.0,15.0,2002,12,1,0,Sunday
THEFT,RESIDENCE,False,False,531,5.0,9.0,50.0,2004,8,4,0,Wednesday
OTHER OFFENSE,OTHER,False,False,323,3.0,8.0,69.0,2003,9,22,0,Monday
THEFT,RESIDENCE,False,False,1014,10.0,24.0,29.0,2002,1,2,0,Wednesday
THEFT,APARTMENT,False,False,813,8.0,13.0,62.0,2004,12,24,0,Friday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,False,1622,16.0,45.0,11.0,2001,11,20,9,Tuesday
THEFT,STREET,False,False,621,6.0,17.0,71.0,2004,12,23,21,Thursday
SEX OFFENSE,RESIDENCE,False,False,1724,17.0,33.0,14.0,2003,1,1,0,Wednesday
THEFT,RESIDENCE,False,False,623,6.0,17.0,69.0,2003,2,1,8,Saturday
SEX OFFENSE,RESIDENCE,False,False,824,8.0,16.0,66.0,2004,11,1,12,Monday
THEFT,BANK,False,False,111,1.0,2.0,28.0,2003,9,3,9,Wednesday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,False,2532,25.0,37.0,25.0,2004,1,1,0,Thursday
THEFT,APARTMENT,False,False,924,9.0,11.0,60.0,2004,3,31,17,Wednesday
CRIM SEXUAL ASSAULT,RESIDENCE,False,False,2522,25.0,31.0,19.0,2003,3,1,0,Saturday
SEX OFFENSE,APARTMENT,False,False,2022,20.0,48.0,77.0,2004,11,1,16,Monday
THEFT,RESIDENCE,False,False,715,7.0,15.0,67.0,2003,2,5,14,Wednesday
THEFT,RESIDENCE,False,False,1011,10.0,24.0,29.0,2002,4,9,8,Tuesday
THEFT,RESIDENCE,False,False,925,9.0,11.0,60.0,2002,5,1,0,Wednesday
THEFT,RESIDENCE,False,False,2011,20.0,40.0,2.0,2002,10,1,1,Tuesday
THEFT,COMMERCIAL / BUSINESS OFFICE,False,False,1834,18.0,42.0,8.0,2003,2,2,0,Sunday
THEFT,APARTMENT,False,False,414,4.0,7.0,43.0,2003,5,1,0,Thursday
THEFT,RESIDENCE,False,False,2211,22.0,19.0,72.0,2002,7,8,9,Monday
THEFT,APARTMENT,False,True,513,5.0,9.0,49.0,2001,9,10,13,Monday
THEFT,BANK,False,False,113,1.0,42.0,32.0,2002,3,1,9,Friday
THEFT,RESIDENCE,False,False,813,8.0,13.0,62.0,2004,3,1,0,Monday
SEX OFFENSE,RESIDENCE,False,True,1013,10.0,22.0,30.0,2001,10,1,9,Monday
THEFT,RESIDENCE,False,False,522,5.0,34.0,53.0,2004,1,15,12,Thursday
CRIM SEXUAL ASSAULT,RESIDENCE,False,True,914,9.0,11.0,60.0,2004,1,1,0,Thursday
THEFT,STREET,False,True,822,8.0,14.0,63.0,2004,1,1,0,Thursday
DECEPTIVE PRACTICE,RESIDENCE,False,False,1113,11.0,28.0,26.0,2004,10,1,0,Friday
THEFT,RESIDENCE,False,False,1532,15.0,37.0,25.0,2002,9,11,9,Wednesday
THEFT,APARTMENT,False,False,313,3.0,20.0,42.0,2001,12,15,12,Saturday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,False,815,8.0,23.0,57.0,2004,1,1,0,Thursday
THEFT,RESIDENCE,False,False,814,8.0,23.0,56.0,2004,9,1,0,Wednesday
THEFT,RESIDENCE,False,False,1412,14.0,35.0,21.0,2004,1,15,0,Thursday
DECEPTIVE PRACTICE,OTHER,True,False,1433,14.0,1.0,24.0,2001,7,1,9,Sunday
THEFT,RESIDENCE,False,False,511,5.0,8.0,50.0,2002,11,1,0,Friday
THEFT,RESIDENCE,False,False,2515,25.0,37.0,19.0,2003,1,1,9,Wednesday
THEFT,RESIDENCE,False,False,814,8.0,23.0,56.0,2004,12,1,0,Wednesday
THEFT,RESIDENCE,False,False,524,5.0,34.0,53.0,2004,12,14,12,Tuesday
THEFT,APARTMENT,False,True,1011,10.0,24.0,29.0,2001,5,2,10,Wednesday
THEFT,RESIDENCE,False,True,523,5.0,34.0,53.0,2003,7,7,0,Monday
THEFT,RESIDENCE,False,False,1021,10.0,24.0,29.0,2003,7,21,0,Monday
THEFT,APARTMENT,False,False,313,3.0,20.0,42.0,2003,11,6,0,Thursday
THEFT,APARTMENT,False,False,2124,2.0,4.0,39.0,2003,12,1,10,Monday
CRIM SEXUAL ASSAULT,APARTMENT,False,False,1823,18.0,27.0,8.0,2004,9,1,23,Wednesday
THEFT,RESIDENCE,False,False,611,6.0,17.0,71.0,2001,7,1,15,Sunday
THEFT,RESIDENCE,False,False,132,1.0,2.0,32.0,2002,3,1,0,Friday
THEFT,RESIDENCE,False,False,2132,2.0,4.0,41.0,2003,1,1,12,Wednesday
THEFT,RESIDENCE,False,False,524,5.0,34.0,53.0,2002,7,5,8,Friday
THEFT,RESIDENCE,False,False,1115,11.0,28.0,26.0,2003,4,8,15,Tuesday
SEX OFFENSE,RESIDENCE,False,False,726,7.0,15.0,67.0,2001,10,30,8,Tuesday
THEFT,DEPARTMENT STORE,False,False,824,8.0,16.0,63.0,2003,1,1,9,Wednesday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,False,1021,10.0,24.0,29.0,2001,1,1,0,Monday
THEFT,STREET,False,False,2422,24.0,49.0,1.0,2003,1,28,11,Tuesday
THEFT,RESIDENCE,False,False,633,6.0,6.0,44.0,2004,9,1,9,Wednesday
THEFT,HOSPITAL BUILDING/GROUNDS,False,False,411,4.0,8.0,43.0,2003,9,29,9,Monday
THEFT,RESIDENCE,False,False,2011,20.0,40.0,4.0,2003,12,11,17,Thursday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,True,831,8.0,15.0,66.0,2004,9,4,16,Saturday
THEFT,APARTMENT,False,False,1014,10.0,24.0,29.0,2001,12,1,9,Saturday
THEFT,RESIDENCE,False,False,423,4.0,7.0,48.0,2001,7,26,0,Thursday
THEFT,APARTMENT,False,False,2534,25.0,30.0,23.0,2004,4,1,0,Thursday
THEFT,APARTMENT,False,True,1432,14.0,32.0,22.0,2004,11,5,0,Friday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,True,824,8.0,14.0,63.0,2003,1,1,0,Wednesday
OFFENSE INVOLVING CHILDREN,RESIDENCE,True,False,2515,25.0,30.0,19.0,2002,12,1,0,Sunday
DECEPTIVE PRACTICE,COMMERCIAL / BUSINESS OFFICE,False,False,1724,17.0,33.0,16.0,2003,1,2,16,Thursday
THEFT,RESIDENCE,False,False,2433,24.0,40.0,77.0,2002,1,2,15,Wednesday
THEFT,RESIDENCE,False,True,1324,12.0,27.0,24.0,2004,4,1,9,Thursday
THEFT,RESIDENCE,False,False,424,4.0,10.0,46.0,2004,9,1,0,Wednesday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,True,823,8.0,15.0,66.0,2004,1,1,0,Thursday
THEFT,OTHER,False,False,1111,11.0,37.0,23.0,2001,8,1,0,Wednesday
THEFT,RESIDENCE,False,False,2531,25.0,29.0,25.0,2003,6,1,0,Sunday
THEFT,RESIDENCE,False,False,2422,24.0,49.0,1.0,2003,12,12,9,Friday
THEFT,RESIDENCE,False,False,2432,24.0,40.0,1.0,2001,10,1,1,Monday
DECEPTIVE PRACTICE,RESIDENCE,False,True,2312,19.0,46.0,3.0,2001,9,7,0,Friday
THEFT,RESIDENCE,False,False,324,3.0,5.0,69.0,2003,1,1,12,Wednesday
SEX OFFENSE,RESIDENCE,True,False,1422,14.0,26.0,23.0,2004,1,1,0,Thursday
THEFT,APARTMENT,False,True,2513,25.0,29.0,25.0,2001,1,1,9,Monday
OFFENSE INVOLVING CHILDREN,RESIDENCE,True,True,611,6.0,18.0,71.0,2004,5,5,8,Wednesday
THEFT,RESIDENCE,False,False,1121,11.0,27.0,23.0,2004,12,9,0,Thursday
DECEPTIVE PRACTICE,APARTMENT,False,False,1811,18.0,32.0,7.0,2004,11,15,0,Monday
THEFT,APARTMENT,False,False,314,3.0,5.0,42.0,2001,10,1,9,Monday
THEFT,RESIDENCE,False,False,414,4.0,8.0,46.0,2004,7,1,8,Thursday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,False,1731,17.0,38.0,16.0,2004,6,1,18,Tuesday
THEFT,RESIDENCE,False,False,824,8.0,16.0,63.0,2003,1,1,0,Wednesday
THEFT,RESIDENCE,False,False,2525,25.0,30.0,22.0,2001,1,22,9,Monday
THEFT,RESIDENCE,False,False,634,6.0,21.0,49.0,2004,9,12,12,Sunday
THEFT,RESIDENCE,False,False,713,7.0,16.0,67.0,2003,1,1,0,Wednesday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,False,923,9.0,11.0,60.0,2003,1,1,0,Wednesday
THEFT,APARTMENT,False,False,1111,11.0,28.0,25.0,2004,2,2,9,Monday
DECEPTIVE PRACTICE,RESIDENCE,False,False,113,1.0,42.0,32.0,2004,1,7,16,Wednesday
THEFT,APARTMENT,False,False,1733,17.0,35.0,16.0,2004,10,1,10,Friday
THEFT,RESIDENCE,False,False,2024,20.0,46.0,3.0,2003,2,27,9,Thursday
THEFT,RESIDENCE,False,True,731,7.0,6.0,69.0,2004,5,1,8,Saturday
THEFT,RESIDENCE,False,False,835,8.0,18.0,66.0,2003,4,1,0,Tuesday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,False,1311,12.0,26.0,24.0,2003,1,1,0,Wednesday
THEFT,RESIDENCE,False,False,422,4.0,7.0,46.0,2003,10,1,0,Wednesday
SEX OFFENSE,APARTMENT,True,False,1223,12.0,25.0,31.0,2002,6,1,0,Saturday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,False,334,3.0,7.0,43.0,2004,1,1,0,Thursday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,False,2411,24.0,50.0,2.0,2001,2,8,0,Thursday
THEFT,RESIDENCE,False,False,631,6.0,8.0,44.0,2004,1,1,9,Thursday
THEFT,RESIDENCE,False,False,1624,16.0,45.0,15.0,2004,6,1,0,Tuesday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,False,822,8.0,14.0,63.0,2003,6,1,0,Sunday
THEFT,APARTMENT,False,False,913,9.0,12.0,58.0,2004,1,1,0,Thursday
THEFT,RESIDENCE,False,False,2123,2.0,4.0,39.0,2002,2,28,10,Thursday
CRIM SEXUAL ASSAULT,APARTMENT,True,True,314,3.0,20.0,42.0,2002,1,9,13,Wednesday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,False,1513,15.0,29.0,25.0,2001,1,1,0,Monday
THEFT,APARTMENT,False,False,2011,20.0,40.0,2.0,2002,8,1,15,Thursday
SEX OFFENSE,RESIDENCE,False,False,2031,20.0,40.0,4.0,2002,9,1,21,Sunday
THEFT,RESIDENCE,False,True,1414,14.0,35.0,22.0,2004,1,1,9,Thursday
THEFT,RESIDENCE,False,False,512,5.0,34.0,49.0,2004,4,1,9,Thursday
THEFT,RESIDENCE,False,False,931,9.0,20.0,61.0,2003,1,1,0,Wednesday
CRIM SEXUAL ASSAULT,RESIDENCE,False,False,1411,14.0,33.0,21.0,2001,6,1,10,Friday
THEFT,RESIDENCE,False,False,1421,14.0,35.0,22.0,2004,1,1,8,Thursday
SEX OFFENSE,RESIDENCE,False,True,933,9.0,20.0,61.0,2003,1,1,17,Wednesday
THEFT,RESIDENCE,False,False,815,8.0,23.0,57.0,2003,1,1,8,Wednesday
SEX OFFENSE,APARTMENT,False,False,1222,12.0,25.0,31.0,2002,7,1,12,Monday
THEFT,RESIDENCE,False,False,323,3.0,6.0,69.0,2001,1,1,8,Monday
DECEPTIVE PRACTICE,BANK,False,False,1512,15.0,29.0,25.0,2001,5,8,12,Tuesday
THEFT,RESIDENCE,False,False,2233,22.0,34.0,49.0,2004,8,1,12,Sunday
THEFT,RESIDENCE,False,False,822,8.0,14.0,63.0,2003,10,1,13,Wednesday
THEFT,NURSING HOME/RETIREMENT HOME,False,False,2123,2.0,4.0,39.0,2004,12,31,0,Friday
CRIM SEXUAL ASSAULT,RESIDENCE,True,True,1033,10.0,12.0,30.0,2002,9,25,0,Wednesday
THEFT,RESIDENCE,False,False,731,7.0,6.0,69.0,2003,1,1,0,Wednesday
THEFT,RESIDENCE,False,False,2311,19.0,46.0,3.0,2002,2,1,0,Friday
THEFT,RESIDENCE,False,False,1634,16.0,45.0,15.0,2001,4,1,9,Sunday
THEFT,RESIDENCE,False,False,1522,15.0,29.0,25.0,2003,3,20,0,Thursday
THEFT,APARTMENT,False,False,133,1.0,2.0,33.0,2004,1,1,0,Thursday
THEFT,RESIDENCE,False,False,522,5.0,34.0,53.0,2004,11,1,0,Monday
THEFT,APARTMENT,False,False,223,2.0,3.0,38.0,2003,1,1,9,Wednesday
THEFT,OTHER,False,False,1212,12.0,27.0,28.0,2003,10,1,10,Wednesday
THEFT,APARTMENT,False,False,723,7.0,16.0,68.0,2004,8,8,14,Sunday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,False,1733,17.0,33.0,16.0,2003,6,30,22,Monday
THEFT,RESIDENCE,False,False,1014,10.0,24.0,29.0,2003,1,1,0,Wednesday
THEFT,RESIDENCE,False,False,1011,10.0,24.0,29.0,2003,9,1,12,Monday
THEFT,RESIDENCE,False,False,811,8.0,23.0,56.0,2004,1,1,13,Thursday
DECEPTIVE PRACTICE,RESIDENCE,False,False,2333,19.0,43.0,7.0,2003,10,1,10,Wednesday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,True,2534,25.0,37.0,23.0,2003,3,1,14,Saturday
CRIM SEXUAL ASSAULT,OTHER,False,False,1331,12.0,27.0,27.0,2002,6,20,1,Thursday
THEFT,RESIDENCE,False,False,233,2.0,3.0,68.0,2002,3,6,0,Wednesday
THEFT,RESIDENCE,False,False,1224,12.0,25.0,28.0,2004,1,1,12,Thursday
THEFT,SMALL RETAIL STORE,False,False,2111,2.0,25.0,34.0,2003,3,1,0,Saturday
THEFT,OTHER,False,False,1421,14.0,26.0,23.0,2004,1,1,0,Thursday
THEFT,RESIDENCE,False,False,313,3.0,20.0,42.0,2004,5,22,0,Saturday
THEFT,RESIDENCE,False,False,2132,2.0,4.0,39.0,2003,1,21,0,Tuesday
THEFT,RESIDENCE,False,False,2512,25.0,36.0,18.0,2003,9,24,0,Wednesday
THEFT,APARTMENT,False,False,2534,25.0,30.0,20.0,2004,1,10,0,Saturday
THEFT,STREET,False,False,812,8.0,23.0,64.0,2002,8,21,15,Wednesday
THEFT,RESIDENCE,False,False,712,7.0,16.0,68.0,2004,12,31,9,Friday
THEFT,RESIDENCE,False,False,524,5.0,34.0,53.0,2002,1,1,23,Tuesday
THEFT,RESIDENCE,False,False,1134,11.0,28.0,29.0,2001,3,19,9,Monday
THEFT,HOTEL/MOTEL,True,False,114,1.0,42.0,32.0,2003,1,3,8,Friday
SEX OFFENSE,RESIDENCE,False,True,823,8.0,15.0,66.0,2004,5,21,0,Friday
THEFT,RESIDENCE,False,False,831,8.0,15.0,66.0,2001,1,1,13,Monday
THEFT,APARTMENT,False,False,2211,22.0,19.0,72.0,2003,9,23,0,Tuesday
THEFT,RESIDENCE,False,False,1833,18.0,42.0,8.0,2002,8,6,9,Tuesday
THEFT,BANK,False,False,825,8.0,15.0,66.0,2001,5,1,8,Tuesday
THEFT,APARTMENT,False,False,1624,16.0,45.0,15.0,2003,12,10,0,Wednesday
OFFENSE INVOLVING CHILDREN,OTHER,False,True,421,4.0,7.0,43.0,2004,3,27,21,Saturday
SEX OFFENSE,RESIDENCE,False,False,1034,10.0,12.0,30.0,2004,1,1,0,Thursday
SEX OFFENSE,RESIDENCE,False,False,2211,22.0,19.0,72.0,2004,7,1,0,Thursday
CRIM SEXUAL ASSAULT,RESIDENCE,False,True,1732,17.0,35.0,16.0,2003,10,1,0,Wednesday
THEFT,APARTMENT,False,False,2422,24.0,49.0,1.0,2002,4,1,9,Monday
THEFT,APARTMENT,False,False,211,2.0,3.0,35.0,2002,4,15,12,Monday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,True,1411,14.0,1.0,21.0,2002,1,1,9,Tuesday
THEFT,APARTMENT,False,False,2124,2.0,4.0,39.0,2004,4,2,12,Friday
THEFT,BANK,True,False,112,1.0,42.0,32.0,2003,1,4,9,Saturday
THEFT,RESIDENCE,False,False,634,6.0,21.0,49.0,2004,9,1,0,Wednesday
THEFT,RESIDENCE,False,False,1522,15.0,28.0,25.0,2003,1,1,10,Wednesday
CRIM SEXUAL ASSAULT,"SCHOOL, PUBLIC, BUILDING",False,False,1211,12.0,2.0,28.0,2004,3,1,10,Monday
THEFT,RESIDENCE,False,False,2413,24.0,50.0,2.0,2002,4,7,12,Sunday
THEFT,RESIDENCE,False,True,2112,2.0,4.0,35.0,2004,7,4,9,Sunday
SEX OFFENSE,APARTMENT,False,False,321,3.0,20.0,42.0,2003,1,1,0,Wednesday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,True,1732,17.0,35.0,16.0,2002,6,1,22,Saturday
DECEPTIVE PRACTICE,DEPARTMENT STORE,False,False,622,6.0,21.0,44.0,2004,5,26,19,Wednesday
THEFT,APARTMENT,False,False,131,1.0,2.0,28.0,2002,3,1,12,Friday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,False,1023,10.0,12.0,30.0,2004,1,1,0,Thursday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,True,724,7.0,16.0,68.0,2002,1,1,8,Tuesday
THEFT,RESIDENCE,False,False,232,2.0,3.0,40.0,2003,10,1,0,Wednesday
CRIM SEXUAL ASSAULT,APARTMENT,True,False,324,3.0,24.0,25.0,2002,1,23,17,Wednesday
THEFT,RESIDENCE,False,False,2515,25.0,30.0,19.0,2001,1,1,0,Monday
THEFT,RESIDENCE,False,False,711,7.0,3.0,68.0,2001,3,1,12,Thursday
CRIM SEXUAL ASSAULT,RESIDENCE,True,True,833,8.0,13.0,65.0,2003,4,9,0,Wednesday
THEFT,RESIDENCE,False,False,1631,16.0,36.0,17.0,2002,5,1,9,Wednesday
DECEPTIVE PRACTICE,RESIDENCE,False,False,1431,14.0,1.0,22.0,2001,10,26,14,Friday
DECEPTIVE PRACTICE,OTHER,False,False,1722,17.0,39.0,16.0,2002,9,13,9,Friday
DECEPTIVE PRACTICE,APARTMENT,False,False,1422,14.0,26.0,23.0,2001,2,16,12,Friday
THEFT,RESIDENCE,False,False,2123,2.0,4.0,39.0,2003,1,1,0,Wednesday
THEFT,RESIDENCE,False,False,212,2.0,3.0,35.0,2002,6,1,0,Saturday
THEFT,RESIDENCE,False,False,132,1.0,3.0,33.0,2001,4,15,9,Sunday
CRIM SEXUAL ASSAULT,VEHICLE NON-COMMERCIAL,False,False,2012,20.0,40.0,77.0,2004,11,1,2,Monday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,False,512,5.0,9.0,49.0,2004,1,1,0,Thursday
THEFT,RESIDENCE,False,False,412,4.0,8.0,45.0,2003,12,27,9,Saturday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,False,2512,25.0,29.0,19.0,2002,2,18,10,Monday
THEFT,RESIDENCE,False,False,833,8.0,13.0,65.0,2004,6,1,0,Tuesday
THEFT,CHA APARTMENT,False,False,1231,12.0,2.0,28.0,2002,1,1,0,Tuesday
THEFT,RESIDENCE,False,False,223,2.0,3.0,38.0,2004,10,31,9,Sunday
THEFT,RESIDENCE,False,False,533,5.0,9.0,54.0,2001,1,1,0,Monday
THEFT,RESIDENCE,False,False,726,7.0,15.0,67.0,2003,3,1,13,Saturday
THEFT,RESIDENCE,False,True,2132,2.0,4.0,39.0,2002,4,15,12,Monday
